97	d	79	a	A	0
94	d	9	b	w	0
69	d	68	a	D	0
56	b	9	b	j	0
17	d	8	b	G	0
27	e	37	d	k	0
64	d	76	e	m	0
1	c	95	b	s	0
50	e	26	c	A	0
22	c	46	b	E	0
97	a	75	c	w	0
82	e	73	d	j	0
35	a	43	c	j	0
30	d	85	e	G	0
55	a	10	a	C	0
84	e	34	d	w	0
47	b	42	a	B	0
4	d	54	d	g	0
94	c	79	e	z	0
9	a	0	d	j	0
99	d	72	b	k	0
29	b	22	a	F	0
48	b	54	c	t	0
80	b	79	e	o	0
59	d	0	e	u	0
61	a	57	c	w	0
20	e	67	e	G	0
46	a	24	c	G	0
30	c	63	d	D	0
8	d	89	a	E	0
29	d	8	d	p	0
27	c	63	a	z	0
99	e	42	a	i	0
18	a	68	e	D	0
64	a	65	c	x	0
85	a	32	c	E	0
82	a	24	b	p	0
79	b	7	b	g	0
7	e	3	b	u	0
54	b	9	c	w	0
61	a	84	e	D	0
95	c	3	b	y	0
34	d	62	a	w	0
20	e	8	d	r	0
37	d	77	e	y	0
19	a	11	d	o	0
15	d	27	b	B	0
25	d	53	a	h	0
71	a	59	a	E	0
99	d	42	d	q	0
76	e	78	d	o	0
100	a	48	c	k	0
18	d	92	c	q	0
38	d	14	a	q	0
1	b	4	e	n	0
44	d	27	d	A	0
21	c	40	b	x	0
55	e	82	a	l	0
82	a	85	b	D	0
60	a	50	c	G	0
50	b	25	e	h	0
26	e	4	a	r	0
90	a	13	c	n	0
37	a	56	b	t	0
62	c	21	c	u	0
53	c	80	c	G	0
34	c	4	e	E	0
95	a	14	b	i	0
46	d	66	d	q	0
10	e	8	a	g	0
89	d	48	b	w	0
73	c	100	c	z	0
3	a	10	b	p	0
90	b	58	d	o	0
79	d	84	d	s	0
23	c	83	d	v	0
66	c	16	a	f	0
51	b	71	e	o	0
6	b	34	d	l	0
41	d	69	e	F	0
7	e	62	b	F	0
32	c	34	b	i	0
40	c	50	d	D	0
22	a	37	e	H	0
4	d	68	e	w	0
44	c	18	b	H	0
88	c	10	d	u	0
71	c	99	e	D	0
55	d	33	b	B	0
81	d	84	c	H	0
28	e	54	b	s	0
9	d	93	c	l	0
31	b	0	e	q	0
58	b	43	d	j	0
47	e	31	c	H	0
89	b	66	c	G	0
10	d	83	b	u	0
20	d	13	d	p	0
18	c	100	a	p	0
70	e	84	d	j	0
8	b	50	e	o	0
8	b	34	c	g	0
69	c	3	a	v	0
77	b	54	a	o	0
0	c	61	a	j	0
36	c	23	e	x	0
11	a	40	a	E	0
72	e	18	e	j	0
89	c	79	c	q	0
41	a	37	b	F	0
45	b	25	d	r	0
43	b	46	c	l	0
23	b	34	c	B	0
96	e	69	b	q	0
79	c	26	e	x	0
22	d	10	c	n	0
92	b	58	d	r	0
63	a	43	c	f	0
42	d	56	e	f	0
21	a	96	e	y	0
28	c	81	d	f	0
9	c	49	a	o	0
61	b	100	d	F	0
83	a	76	b	E	0
5	d	92	c	m	0
14	c	63	d	y	0
29	d	81	e	A	0
79	e	47	e	n	0
72	b	35	b	u	0
88	d	48	b	j	0
75	b	51	c	i	0
38	d	89	e	G	0
21	c	52	d	H	0
42	c	93	e	g	0
88	d	29	a	E	0
100	a	17	d	A	0
26	d	54	d	k	0
16	a	33	c	t	0
62	e	11	d	p	0
19	a	33	c	t	0
87	b	93	a	z	0
65	c	46	b	l	0
76	a	51	b	i	0
9	b	68	a	E	0
78	b	42	c	u	0
48	a	39	a	i	0
61	a	2	d	z	0
87	b	97	e	q	0
46	e	37	c	D	0
61	c	19	e	r	0
13	e	3	a	g	0
82	d	84	d	G	0
58	d	64	e	m	0
85	b	43	b	G	0
68	e	73	e	h	0
65	b	93	e	z	0
20	b	22	b	j	0
23	a	12	e	i	0
88	b	27	c	v	0
93	e	37	a	z	0
42	b	61	d	k	0
87	d	43	d	B	0
88	d	54	a	r	0
62	b	71	e	i	0
28	e	55	d	n	0
48	c	31	a	h	0
61	e	75	d	g	0
55	a	44	b	f	0
38	b	30	a	h	0
49	b	46	b	z	0
19	e	15	d	w	0
67	d	18	e	m	0
2	e	29	b	C	0
97	b	19	c	H	0
15	b	96	b	l	0
76	b	2	b	k	0
26	e	69	e	A	0
12	b	83	a	A	0
37	d	11	d	G	0
45	e	54	b	u	0
67	b	95	e	o	0
14	d	72	b	g	0
98	b	100	a	B	0
10	c	15	e	w	0
60	c	37	d	k	0
95	a	55	d	f	0
86	e	15	e	l	0
5	d	0	d	w	0
4	e	5	a	z	0
86	b	85	c	s	0
22	a	33	a	F	0
29	b	68	d	q	0
76	d	35	c	u	0
60	c	100	b	v	0
76	d	90	e	j	0
63	d	36	e	u	0
0	e	21	a	y	0
78	b	83	a	u	0
80	d	32	d	s	0
55	c	16	e	g	0
26	c	88	d	h	0
25	a	98	d	H	0
12	b	36	d	z	0
99	a	98	c	G	0
42	b	25	e	D	0
68	c	89	e	n	0
26	c	93	b	A	0
15	c	73	d	n	0
67	b	34	d	p	0
89	d	9	b	C	0
16	c	86	a	A	0
66	a	52	b	r	0
47	e	22	d	m	0
85	c	24	d	E	0
46	b	41	c	t	0
3	d	71	c	l	0
43	c	6	e	H	0
34	e	2	c	n	0
55	c	59	c	n	0
47	e	77	b	h	0
96	d	2	c	G	0
63	d	33	a	w	0
7	a	96	d	G	0
31	d	50	c	w	0
83	b	2	b	h	0
46	b	32	b	y	0
59	a	25	d	p	0
28	d	92	c	j	0
79	d	73	c	p	0
65	c	34	b	r	0
56	e	34	e	q	0
9	e	48	d	A	0
11	d	74	b	y	0
84	a	67	a	D	0
39	a	84	a	g	0
51	a	1	e	j	0
97	e	4	a	s	0
85	e	21	b	q	0
50	a	77	a	v	0
23	a	7	d	y	0
39	c	45	d	u	0
52	a	60	c	r	0
60	e	47	e	h	0
32	c	48	d	B	0
23	e	34	c	i	0
76	b	16	a	o	0
9	a	30	d	t	0
100	d	16	e	E	0
97	d	56	a	u	0
22	d	61	e	l	0
51	a	51	c	k	0
8	b	51	b	g	0
31	e	6	b	z	0
28	d	65	c	g	0
76	e	76	e	j	0
21	c	87	c	o	0
41	a	90	a	E	0
0	e	59	e	i	0
2	b	16	d	x	0
29	b	12	d	C	0
94	c	5	d	A	0
